<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
22120;22030;22030
22123;22050;22123
22125;22084;22084
22130;22113;22113
22142;22093;22093
22151;22093;22151
22154;22093;22154
22159;22282;22282
22167;22107;22167
22173;22093;22173
22191;22046;22191
22192;22209;22192
22230;22162;22162
22247;22264;22247
22252;22093;22093
22253;22264;22253
22270;22093;22093
22290;22107;22290
22292;22046;22292
22297;22046;22297
22298;22158;22298
22301;22084;22084
22303;22046;22303
22329;22118;22118
22336;22113;22113
22355;22093;22093
22357;22209;22357
22367;22251;22367
22374;22118;22118
22382;22190;22190
23085;23093;23093
23094;23093;23094
23121;23109;23121
23126;23189;23126
23135;23227;23227
23153;23090;23153
23161;23149;23161
23163;23220;23163
23231;23192;23231
23256;23067;23067
24003;24082;24082
24013;24053;24013
24017;24303;24303
24033;24253;24033
24041;24087;24087
24044;24026;24044
24047;24147;24047
24049;24028;24028
24065;24312;24065
24072;24068;24072
24078;24520;24520
24079;24064;24079
24092;24362;24092
24093;24554;24093
24099;24253;24099
24103;24026;24103
24112;24086;24112
24118;24316;24118
24125;24167;24167
24127;24364;24127
24149;24068;24068
24166;24026;24166
24169;24516;24516
24170;24064;24170
24173;24168;24168
24178;24490;24178
24181;24534;24534
24185;24035;24035
24187;24263;24263
24198;24064;24198
24201;24260;24201
24203;24253;24203
24204;24117;24204
24219;24028;24219
24233;24259;24233
24235;24253;24235
24239;24540;24239
24249;24172;24249
24250;24168;24168
24258;24312;24258
24265;24294;24294
24270;24026;24270
24275;24549;24549
24283;24253;24283
24298;24142;24142
24310;24028;24310
24315;24068;24315
24332;24335;24335
24333;24216;24333
24342;24549;24549
24343;24376;24343
24344;24253;24344
24358;24167;24167
24363;24035;24363
24368;24490;24368
24369;24026;24369
24387;24356;24387
24389;24172;24389
24391;24064;24391
24400;24585;24585
24402;24423;24402
24427;24259;24427
24430;24064;24064
24431;24259;24431
24433;24423;24433
24435;24362;24435
24439;24053;24439
24440;24229;24229
24447;24053;24447
24467;24354;24467
24469;24354;24469
24475;24147;24475
24497;24028;24497
24503;24253;24503
24506;24167;24167
24530;24064;24530
24539;24172;24172
24556;24263;24263
24561;24064;24561
24578;24338;24338
24579;24253;24579
24583;24547;24547
25010;25223;25010
25023;25575;25575
25027;25245;25245
25028;25424;25028
25034;25035;25034
25037;25036;25037
25064;25433;25064
25068;25313;25313
25069;25527;25527
25076;25434;25076
25080;25486;25486
25081;25127;25127
25118;25047;25047
25123;25222;25222
25128;25424;25128
25135;25138;25138
25137;25368;25368
25140;25156;25140
25144;25505;25144
25146;25101;25146
25158;25524;25524
25165;25101;25165
25167;25374;25167
25168;25223;25168
25169;25138;25138
25205;25223;25205
25206;25051;25051
25250;25558;25558
25260;25392;25392
25272;25018;25272
25291;25417;25291
25292;25334;25334
25294;25320;25320
25302;25424;25302
25319;25334;25334
25337;25357;25337
25352;25288;25288
25353;25468;25353
25358;25537;25358
25363;25187;25363
25396;25505;25396
25399;25460;25460
25407;25275;25407
25409;25505;25409
25412;25519;25519
25423;25138;25138
25480;25424;25480
25484;25223;25484
25509;25438;25509
25530;25529;25529
25531;25156;25156
25543;25385;25543
25568;25018;25568
25576;25575;25575
25577;25485;25485
25581;25212;25581
25585;25424;25585
25587;25078;25587
25593;25147;25147
25603;25463;25463
25606;25275;25606
25610;25222;25222
25636;25601;25601
26029;26136;26136
26044;26276;26276
26053;26055;26055
26109;26086;26086
26120;26128;26128
26132;26199;26199
26151;26262;26262
26158;26091;26091
26184;26210;26184
26187;26001;26187
26230;26321;26321
26237;26136;26136
26260;26055;26055
26265;26020;26020
26280;26365;26365
26297;26210;26297
26354;26086;26354
26366;26179;26366
27007;27049;27007
27024;27198;27198
27029;27025;27025
27030;27427;27427
27041;27049;27041
27058;27676;27058
27060;27213;27060
27080;27198;27198
27084;27105;27084
27086;27105;27105
27087;27138;27138
27088;27049;27088
27092;27062;27092
27093;27090;27093
27121;27213;27121
27122;27213;27122
27128;27213;27128
27131;27425;27131
27143;27685;27143
27145;27157;27145
27150;27554;27150
27159;27112;27159
27160;27213;27160
27166;27198;27198
27172;27032;27172
27175;27070;27175
27178;27693;27693
27186;27198;27198
27195;27578;27195
27197;27213;27197
27211;27191;27211
27221;27049;27221
27223;27085;27223
27225;27157;27225
27236;27106;27106
27244;27085;27244
27250;27191;27250
27253;27425;27253
27255;27213;27255
27257;27213;27257
27262;27213;27262
27264;27213;27264
27265;27679;27265
27268;27447;27268
27270;27070;27270
27272;27096;27096
27274;27294;27274
27283;27049;27283
27292;27049;27292
27293;27198;27198
27296;27049;27296
27297;27198;27297
27303;27565;27303
27305;27112;27305
27308;27213;27308
27314;27331;27331
27328;27198;27198
27344;27062;27344
27352;27105;27105
27356;27049;27356
27357;27415;27415
27362;27049;27362
27387;27198;27198
27402;27447;27402
27409;27198;27198
27416;27198;27416
27443;27528;27528
27449;27213;27449
27450;27206;27206
27452;27425;27452
27461;27003;27003
27479;27153;27479
27484;27277;27484
27491;27198;27491
27494;27198;27198
27499;27049;27499
27503;27198;27198
27506;27011;27506
27509;27414;27414
27510;27448;27510
27513;27049;27513
27515;27049;27515
27519;27022;27519
27523;27516;27523
27526;27107;27526
27532;27157;27532
27549;27467;27549
27551;27541;27551
27559;27361;27361
27566;27049;27566
27573;27578;27573
27574;27302;27574
27575;27129;27129
27581;27263;27581
27583;27533;27533
27585;27467;27467
27588;27554;27588
27596;27049;27596
27600;27516;27600
27607;27263;27607
27619;27424;27424
27626;27089;27626
27628;27049;27628
27634;27032;27634
27636;27638;27636
27637;27105;27637
27639;27638;27639
27642;27290;27642
27647;27676;27647
27648;27412;27648
27651;27471;27651
27653;27213;27653
